anchor_date,acq_datetime,id,datetime,cloud_cover,platform,constellation,collection,coverage_frac_union,coverage_area_union
2023-10-22,2023-10-15 09:20:31.024000+00:00,S2A_MSIL2A_20231015T092031_N0510_R093_T34TFL_20241103T140930,2023-10-15 09:20:31.024000+00:00,0.607281,sentinel-2a,sentinel-2,sentinel-2-l2a,1.0000000000000022,5739455232.61008
2023-10-22,2023-10-15 09:20:31.024000+00:00,S2A_MSIL2A_20231015T092031_N0510_R093_T34TFK_20241103T140930,2023-10-15 09:20:31.024000+00:00,0.688488,sentinel-2a,sentinel-2,sentinel-2-l2a,1.0000000000000022,5739455232.61008
2023-12-26,2023-12-19 09:23:19.024000+00:00,S2B_MSIL2A_20231219T092319_N0510_R093_T35TKF_20231219T110223,2023-12-19 09:23:19.024000+00:00,0.23,sentinel-2b,sentinel-2,sentinel-2-l2a,1.0000000000000022,5739455232.61008
2023-12-26,2023-12-19 09:23:19.024000+00:00,S2B_MSIL2A_20231219T092319_N0510_R093_T34TFL_20231219T110223,2023-12-19 09:23:19.024000+00:00,0.0,sentinel-2b,sentinel-2,sentinel-2-l2a,1.0000000000000022,5739455232.61008
2023-12-26,2023-12-19 09:23:19.024000+00:00,S2B_MSIL2A_20231219T092319_N0510_R093_T34TFK_20231219T110223,2023-12-19 09:23:19.024000+00:00,0.01,sentinel-2b,sentinel-2,sentinel-2-l2a,1.0000000000000022,5739455232.61008
2024-05-05,2024-05-07 09:15:49.024000+00:00,S2B_MSIL2A_20240507T091549_N0510_R093_T35TKE_20240507T105905,2024-05-07 09:15:49.024000+00:00,15.28,sentinel-2b,sentinel-2,sentinel-2-l2a,1.000000000000001,5739455232.610074
2024-05-05,2024-05-07 09:15:49.024000+00:00,S2B_MSIL2A_20240507T091549_N0510_R093_T34TGL_20240507T105905,2024-05-07 09:15:49.024000+00:00,18.7,sentinel-2b,sentinel-2,sentinel-2-l2a,1.000000000000001,5739455232.610074
2024-05-05,2024-05-07 09:15:49.024000+00:00,S2B_MSIL2A_20240507T091549_N0510_R093_T34TFL_20240507T105905,2024-05-07 09:15:49.024000+00:00,15.26,sentinel-2b,sentinel-2,sentinel-2-l2a,1.000000000000001,5739455232.610074
2024-05-05,2024-05-07 09:15:49.024000+00:00,S2B_MSIL2A_20240507T091549_N0510_R093_T34TFK_20240507T105905,2024-05-07 09:15:49.024000+00:00,17.45,sentinel-2b,sentinel-2,sentinel-2-l2a,1.000000000000001,5739455232.610074
2024-07-09,2024-07-01 09:20:31.024000+00:00,S2A_MSIL2A_20240701T092031_N0510_R093_T34TGL_20240701T121649,2024-07-01 09:20:31.024000+00:00,0.15,sentinel-2a,sentinel-2,sentinel-2-l2a,0.9985291196186433,5731013180.508746
2024-07-09,2024-07-01 09:20:31.024000+00:00,S2A_MSIL2A_20240701T092031_N0510_R093_T34TFL_20240701T121649,2024-07-01 09:20:31.024000+00:00,0.01,sentinel-2a,sentinel-2,sentinel-2-l2a,0.9985291196186433,5731013180.508746
2024-07-09,2024-07-01 09:20:31.024000+00:00,S2A_MSIL2A_20240701T092031_N0510_R093_T34TFK_20240701T121649,2024-07-01 09:20:31.024000+00:00,0.02,sentinel-2a,sentinel-2,sentinel-2-l2a,0.9985291196186433,5731013180.508746
2024-11-17,2024-11-08 09:22:01.024000+00:00,S2A_MSIL2A_20241108T092201_N0511_R093_T35TKF_20241108T123352,2024-11-08 09:22:01.024000+00:00,0.01,sentinel-2a,sentinel-2,sentinel-2-l2a,1.0000000000000022,5739455232.61008
2024-11-17,2024-11-08 09:22:01.024000+00:00,S2A_MSIL2A_20241108T092201_N0511_R093_T34TFL_20241108T123352,2024-11-08 09:22:01.024000+00:00,0.0,sentinel-2a,sentinel-2,sentinel-2-l2a,1.0000000000000022,5739455232.61008
2024-11-17,2024-11-08 09:22:01.024000+00:00,S2A_MSIL2A_20241108T092201_N0511_R093_T34TFK_20241108T123352,2024-11-08 09:22:01.024000+00:00,0.93,sentinel-2a,sentinel-2,sentinel-2-l2a,1.0000000000000022,5739455232.61008
2025-01-21,2025-01-17 09:23:21.024000+00:00,S2A_MSIL2A_20250117T092321_N0511_R093_T35TKF_20250117T130404,2025-01-17 09:23:21.024000+00:00,2.35,sentinel-2a,sentinel-2,sentinel-2-l2a,1.0000000000000022,5739455232.61008
2025-01-21,2025-01-17 09:23:21.024000+00:00,S2A_MSIL2A_20250117T092321_N0511_R093_T34TFL_20250117T130404,2025-01-17 09:23:21.024000+00:00,1.62,sentinel-2a,sentinel-2,sentinel-2-l2a,1.0000000000000022,5739455232.61008
2025-01-21,2025-01-17 09:23:21.024000+00:00,S2A_MSIL2A_20250117T092321_N0511_R093_T34TFK_20250117T130404,2025-01-17 09:23:21.024000+00:00,13.89,sentinel-2a,sentinel-2,sentinel-2-l2a,1.0000000000000022,5739455232.61008
2025-03-28,2025-03-20 09:22:31.024000+00:00,S2A_MSIL2A_20250320T092231_N0511_R093_T35TKF_20250320T124113,2025-03-20 09:22:31.024000+00:00,1.105551,sentinel-2a,sentinel-2,sentinel-2-l2a,1.0000000000000022,5739455232.61008
2025-03-28,2025-03-20 09:22:31.024000+00:00,S2A_MSIL2A_20250320T092231_N0511_R093_T34TFL_20250320T124113,2025-03-20 09:22:31.024000+00:00,3.566889,sentinel-2a,sentinel-2,sentinel-2-l2a,1.0000000000000022,5739455232.61008
2025-03-28,2025-03-20 09:22:31.024000+00:00,S2A_MSIL2A_20250320T092231_N0511_R093_T34TFK_20250320T124113,2025-03-20 09:22:31.024000+00:00,2.828793,sentinel-2a,sentinel-2,sentinel-2-l2a,1.0000000000000022,5739455232.61008
2025-06-01,2025-06-08 09:20:41.024000+00:00,S2A_MSIL2A_20250608T092041_N0511_R093_T35TKE_20250608T121913,2025-06-08 09:20:41.024000+00:00,1.405118,sentinel-2a,sentinel-2,sentinel-2-l2a,1.0000000000000013,5739455232.610075
2025-06-01,2025-06-08 09:20:41.024000+00:00,S2A_MSIL2A_20250608T092041_N0511_R093_T34TGL_20250608T121913,2025-06-08 09:20:41.024000+00:00,1.652027,sentinel-2a,sentinel-2,sentinel-2-l2a,1.0000000000000013,5739455232.610075
2025-06-01,2025-06-08 09:20:41.024000+00:00,S2A_MSIL2A_20250608T092041_N0511_R093_T34TFL_20250608T121913,2025-06-08 09:20:41.024000+00:00,0.647563,sentinel-2a,sentinel-2,sentinel-2-l2a,1.0000000000000013,5739455232.610075
2025-06-01,2025-06-08 09:20:41.024000+00:00,S2A_MSIL2A_20250608T092041_N0511_R093_T34TFK_20250608T121913,2025-06-08 09:20:41.024000+00:00,1.235354,sentinel-2a,sentinel-2,sentinel-2-l2a,1.0000000000000013,5739455232.610075
2025-08-06,2025-08-10 09:20:29.024000+00:00,S2B_MSIL2A_20250810T092029_N0511_R093_T35TKF_20250810T114025,2025-08-10 09:20:29.024000+00:00,0.002749,sentinel-2b,sentinel-2,sentinel-2-l2a,1.0000000000000022,5739455232.61008
2025-08-06,2025-08-10 09:20:29.024000+00:00,S2B_MSIL2A_20250810T092029_N0511_R093_T34TFL_20250810T114025,2025-08-10 09:20:29.024000+00:00,0.001496,sentinel-2b,sentinel-2,sentinel-2-l2a,1.0000000000000022,5739455232.61008
2025-08-06,2025-08-10 09:20:29.024000+00:00,S2B_MSIL2A_20250810T092029_N0511_R093_T34TFK_20250810T114025,2025-08-10 09:20:29.024000+00:00,0.026281,sentinel-2b,sentinel-2,sentinel-2-l2a,1.0000000000000022,5739455232.61008
2025-10-10,2025-10-04 09:20:41.025000+00:00,S2C_MSIL2A_20251004T092041_N0511_R093_T35TKE_20251004T130417,2025-10-04 09:20:41.025000+00:00,0.23,sentinel-2c,sentinel-2,sentinel-2-l2a,1.000000000000001,5739455232.610074
2025-10-10,2025-10-04 09:20:41.025000+00:00,S2C_MSIL2A_20251004T092041_N0511_R093_T34TGL_20251004T130417,2025-10-04 09:20:41.025000+00:00,18.35,sentinel-2c,sentinel-2,sentinel-2-l2a,1.000000000000001,5739455232.610074
2025-10-10,2025-10-04 09:20:41.025000+00:00,S2C_MSIL2A_20251004T092041_N0511_R093_T34TFL_20251004T130417,2025-10-04 09:20:41.025000+00:00,17.46,sentinel-2c,sentinel-2,sentinel-2-l2a,1.000000000000001,5739455232.610074
2025-10-10,2025-10-04 09:20:41.025000+00:00,S2C_MSIL2A_20251004T092041_N0511_R093_T34TFK_20251004T130417,2025-10-04 09:20:41.025000+00:00,5.74,sentinel-2c,sentinel-2,sentinel-2-l2a,1.000000000000001,5739455232.610074
