id,datetime,platform,constellation,collection
S2A_MSIL2A_20240628T090601_N0510_R050_T34TFK_20240628T134250,2024-06-28T09:06:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240626T091559_N0510_R093_T35TKF_20240626T124941,2024-06-26T09:15:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240626T091559_N0510_R093_T35TKE_20240626T124941,2024-06-26T09:15:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240626T091559_N0510_R093_T34TGL_20240626T124941,2024-06-26T09:15:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240626T091559_N0510_R093_T34TGK_20240626T124941,2024-06-26T09:15:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240626T091559_N0510_R093_T34TFL_20240626T124941,2024-06-26T09:15:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240626T091559_N0510_R093_T34TFK_20240626T124941,2024-06-26T09:15:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240623T090559_N0510_R050_T35TKF_20240623T105019,2024-06-23T09:05:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240623T090559_N0510_R050_T35TKE_20240623T105019,2024-06-23T09:05:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240623T090559_N0510_R050_T34TGL_20240623T105019,2024-06-23T09:05:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240623T090559_N0510_R050_T34TGK_20240623T105019,2024-06-23T09:05:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240623T090559_N0510_R050_T34TFL_20240623T105019,2024-06-23T09:05:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240623T090559_N0510_R050_T34TFK_20240623T105019,2024-06-23T09:05:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240621T092031_N0510_R093_T35TKF_20240621T123750,2024-06-21T09:20:31.025Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240621T092031_N0510_R093_T35TKE_20240621T123750,2024-06-21T09:20:31.025Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240621T092031_N0510_R093_T34TGL_20240621T123750,2024-06-21T09:20:31.025Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240621T092031_N0510_R093_T34TGK_20240621T123750,2024-06-21T09:20:31.025Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240621T092031_N0510_R093_T34TFL_20240621T123750,2024-06-21T09:20:31.025Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240621T092031_N0510_R093_T34TFK_20240621T123750,2024-06-21T09:20:31.025Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240618T090601_N0510_R050_T35TKF_20240618T122152,2024-06-18T09:06:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240618T090601_N0510_R050_T35TKE_20240618T122152,2024-06-18T09:06:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240618T090601_N0510_R050_T34TGL_20240618T122152,2024-06-18T09:06:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240618T090601_N0510_R050_T34TGK_20240618T122152,2024-06-18T09:06:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240618T090601_N0510_R050_T34TFL_20240618T122152,2024-06-18T09:06:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240618T090601_N0510_R050_T34TFK_20240618T122152,2024-06-18T09:06:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240616T091559_N0510_R093_T35TKF_20240616T105800,2024-06-16T09:15:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240616T091559_N0510_R093_T35TKE_20240616T105800,2024-06-16T09:15:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240616T091559_N0510_R093_T34TGL_20240616T105800,2024-06-16T09:15:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240616T091559_N0510_R093_T34TGK_20240616T105800,2024-06-16T09:15:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240616T091559_N0510_R093_T34TFL_20240616T105800,2024-06-16T09:15:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240616T091559_N0510_R093_T34TFK_20240616T105800,2024-06-16T09:15:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240613T090559_N0510_R050_T35TKF_20240613T104925,2024-06-13T09:05:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240613T090559_N0510_R050_T35TKE_20240613T104925,2024-06-13T09:05:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240613T090559_N0510_R050_T34TGL_20240613T104925,2024-06-13T09:05:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240613T090559_N0510_R050_T34TGK_20240613T104925,2024-06-13T09:05:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240613T090559_N0510_R050_T34TFL_20240613T104925,2024-06-13T09:05:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240613T090559_N0510_R050_T34TFK_20240613T104925,2024-06-13T09:05:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240611T092031_N0510_R093_T35TKF_20240611T122850,2024-06-11T09:20:31.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240611T092031_N0510_R093_T35TKE_20240611T122850,2024-06-11T09:20:31.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240611T092031_N0510_R093_T34TGL_20240611T122850,2024-06-11T09:20:31.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240611T092031_N0510_R093_T34TGK_20240611T122850,2024-06-11T09:20:31.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240611T092031_N0510_R093_T34TFL_20240611T122850,2024-06-11T09:20:31.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240611T092031_N0510_R093_T34TFK_20240611T122850,2024-06-11T09:20:31.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240608T090601_N0510_R050_T35TKF_20240608T122944,2024-06-08T09:06:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240608T090601_N0510_R050_T35TKE_20240608T122944,2024-06-08T09:06:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240608T090601_N0510_R050_T34TGL_20240608T122944,2024-06-08T09:06:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240608T090601_N0510_R050_T34TGK_20240608T122944,2024-06-08T09:06:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240608T090601_N0510_R050_T34TFL_20240608T122944,2024-06-08T09:06:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240608T090601_N0510_R050_T34TFK_20240608T122944,2024-06-08T09:06:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240606T091559_N0510_R093_T35TKF_20240606T121348,2024-06-06T09:15:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240606T091559_N0510_R093_T35TKE_20240606T121348,2024-06-06T09:15:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240606T091559_N0510_R093_T34TGL_20240606T121348,2024-06-06T09:15:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240606T091559_N0510_R093_T34TGK_20240606T121348,2024-06-06T09:15:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240606T091559_N0510_R093_T34TFL_20240606T121348,2024-06-06T09:15:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240606T091559_N0510_R093_T34TFK_20240606T121348,2024-06-06T09:15:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240603T090559_N0510_R050_T35TKF_20240603T103743,2024-06-03T09:05:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240603T090559_N0510_R050_T35TKE_20240603T103743,2024-06-03T09:05:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240603T090559_N0510_R050_T34TGL_20240603T103743,2024-06-03T09:05:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240603T090559_N0510_R050_T34TGK_20240603T103743,2024-06-03T09:05:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240603T090559_N0510_R050_T34TFL_20240603T103743,2024-06-03T09:05:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240603T090559_N0510_R050_T34TFK_20240603T103743,2024-06-03T09:05:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240601T092031_N0510_R093_T35TKF_20240601T133252,2024-06-01T09:20:31.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240601T092031_N0510_R093_T35TKE_20240601T133252,2024-06-01T09:20:31.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240601T092031_N0510_R093_T34TGL_20240601T133252,2024-06-01T09:20:31.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240601T092031_N0510_R093_T34TGK_20240601T133252,2024-06-01T09:20:31.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240601T092031_N0510_R093_T34TFL_20240601T133252,2024-06-01T09:20:31.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240601T092031_N0510_R093_T34TFK_20240601T133252,2024-06-01T09:20:31.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240529T090641_N0510_R050_T35TKF_20240529T145154,2024-05-29T09:06:41.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240529T090641_N0510_R050_T35TKE_20240529T145154,2024-05-29T09:06:41.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
